"","individual","sample","spp","model","mpa","lfm","dw.flam.sample","tti","fh","fd","temp.max","gd","ttfg","gti","pfg","ignition","PC1","start.temp","sample.wt","year.month","site"
"138","2020_September_CEME_1.1.4","1.1.4","CEME","EPI",-5.007,75.63218391,0.337922120418848,47,10.25,5,396.5,134,20,27,102,1,-0.727603066991757,267.6,0.5935,"2020_September","St. Marys"
"139","2020_September_CEME_1.2.4","1.2.4","CEME","EPI",-5.178,68.33282536,0.32786237552055,42,12,5,317.7,119,14,28,86,1,-0.119259082416988,270.7,0.5519,"2020_September","St. Marys"
"140","2020_September_CEME_1.3.4","1.3.4","CEME","EPI",-5.177,73.03250067,0.300752747593915,44,3.5,2,285.4,117,27,17,98,1,-1.21102528285518,270.8,0.5204,"2020_September","St. Marys"
"141","2020_September_CEME_1.4.4","1.4.4","CEME","EPI",-4.841,71.73841604,0.305464561806353,53,9.25,4,326.7,139,25,28,107,1,-1.65956999889255,274,0.5246,"2020_September","St. Marys"
"142","2020_September_CEME_1.6.4","1.6.4","CEME","EPI",-6.791,NA,0.317550509731233,45,12.25,12,371.2,136,25,20,104,1,-0.02380147197425,276.8,0.5617,"2020_September","St. Marys"
"143","2020_September_CEME_2.1.4","2.1.4","CEME","EPI",-4.998,72.23642173,0.302026711185309,26,13,15,296.8,92,25,1,76,1,2.51775348162077,271.5,0.5202,"2020_September","Painted Caves"
"144","2020_September_CEME_2.2.4","2.2.4","CEME","EPI",-4.701,78.54842705,0.311176082130966,46,7,2,360.9,128,10,36,90,1,-1.15807659925911,279.1,0.5556,"2020_September","Painted Caves"
"145","2020_September_CEME_2.6.4","2.6.4","CEME","EPI",-5.603,66.03192383,0.279885933546972,54,5,1,314.6,161,10,44,116,1,-3.00856831965186,269.9,0.4647,"2020_September","Painted Caves"
"146","2020_September_CEME_1.1.4","1.1.4","CEME","EPI",-6.31,64.82900943,0.321970023251654,60,3,3,315.7,152,26,34,115,1,-3.14199815051496,277.3,0.5307,"2020_September","St. Marys"
"147","2020_September_CEME_1.2.4","1.2.4","CEME","EPI",-7.034,125.9367872,0.226966137871359,26,13.25,14,356.5,150,15,11,125,1,1.07046949427408,277.3,0.5128,"2020_September","St. Marys"
"148","2020_September_CEME_1.3.4","1.3.4","CEME","EPI",-5.99,63.26905418,0.305017997750281,48,3,2,299.3,123,12,36,85,1,-1.70979977280093,271.2,0.498,"2020_September","St. Marys"
"149","2020_September_CEME_1.3.4","1.3.4","CEME","EPI",-5.99,63.26905418,0.322535095613048,66,3,3,407.3,117,21,45,69,1,-2.32816254500232,268.7,0.5266,"2020_September","St. Marys"
"150","2020_September_CEME_1.4.4","1.4.4","CEME","EPI",-6.04,60.43385273,0.293454275376119,28,3,11,354.6,87,21,7,69,1,1.54317271486332,266.8,0.4708,"2020_September","St. Marys"
"151","2020_September_CEME_1.5.4","1.5.4","CEME","EPI",-6.49,61.51724138,0.314703245089667,39,11.5,3,336.8,138,4,35,100,1,-0.58499857744499,275.4,0.5083,"2020_September","St. Marys"
"152","2020_September_CEME_1.6.4","1.6.4","CEME","EPI",-10,29.66396292,0.446770241286863,24,12.5,15,431.5,152,2,22,115,1,1.36874421686093,271.2,0.5793,"2020_September","St. Marys"
"153","2020_September_CEME_2.2.4","2.2.4","CEME","EPI",-2.057,97.05071665,0.24729674080291,61,6.75,2,331.6,169,31,30,137,1,-3.34505914935989,274.1,0.4873,"2020_September","Painted Caves"
"154","2020_September_CEME_2.3.4","2.3.4","CEME","EPI",-7.196,62.75832982,0.320352267426795,53,10.75,5,360.7,168,39,14,149,1,-2.06252655034406,271.8,0.5214,"2020_September","Painted Caves"
"155","2020_September_CEME_2.4.4","2.4.4","CEME","EPI",-5.37,76.19272556,0.285312573726542,39,13,13,416.5,111,21,18,80,1,1.34438814210903,258.3,0.5027,"2020_September","Painted Caves"
"156","2020_September_CEME_2.5.4","2.5.4","CEME","EPI",-7.059,61.28964503,0.301321265789816,47,7,7,439.1,99,46,1,91,1,0.334337916755856,268,0.486,"2020_September","Painted Caves"
"157","2020_September_CEME_2.6.4","2.6.4","CEME","EPI",-6.491,62.88356452,0.337603122580645,38,9,6,314.4,126,8,30,90,1,-0.247768683471548,274.4,0.5499,"2020_September","Painted Caves"
"158","2020_September_CEME_1.1.4","1.1.4","CEME","EPI",-7.758,73.82212144,0.318141324829685,50,6.75,2,306.4,139,23,27,110,1,-1.88815730070859,271,0.553,"2020_September","St. Marys"
"159","2020_September_CEME_1.2.4","1.2.4","CEME","EPI",-8.1,52.03503349,0.333541545238902,44,3,3,324,138,18,26,109,1,-1.65017586489407,270.9,0.5071,"2020_September","St. Marys"
"160","2020_September_CEME_1.4.4","1.4.4","CEME","EPI",-8.848,47.87928222,0.302003088803089,43,7,4,292.3,130,15,28,98,1,-1.0699511450811,275.2,0.4466,"2020_September","St. Marys"
"161","2020_September_CEME_1.5.4","1.5.4","CEME","EPI",-7.822,55.79728692,0.319581945128963,49,5,3,297.8,164,14,35,126,1,-2.63384934058861,277.4,0.4979,"2020_September","St. Marys"
"162","2020_September_CEME_1.6.4","1.6.4","CEME","EPI",-7.922,46.89092762,0.368845107564191,35,12.5,4,338.8,151,13,22,125,1,-0.451206818986154,291.2,0.5418,"2020_September","St. Marys"
"163","2020_September_CEME_2.1.4","2.1.4","CEME","EPI",-6.421,60.2486452,0.290922896359658,47,2,1,310.7,118,22,25,92,1,-1.58378082611153,264.1,0.4662,"2020_September","Painted Caves"
"164","2020_September_CEME_2.3.4","2.3.4","CEME","EPI",-10,44.65658976,0.386294188817599,42,11,3,325.3,160,12,30,127,1,-1.43546594907471,263.4,0.5588,"2020_September","Painted Caves"
"165","2020_September_CEME_2.6.4","2.6.4","CEME","EPI",-9.28,47.77070064,0.327331465517241,37,14.5,2,344.1,116,8,29,85,1,0.372172712711492,274,0.4837,"2020_September","Painted Caves"
"166","2020_September_CEME_1.1.4","1.1.4","CEME","EPI",-10,40.56706652,0.396252133436773,38,18.5,5,349.3,138,13,25,108,1,0.312028729056259,260,0.557,"2020_September","St. Marys"
"167","2020_September_CEME_1.2.4","1.2.4","CEME","EPI",-9.395,44.84884646,0.360306631882466,46,11,10,375.3,183,26,20,153,1,-1.59228770286745,272.8,0.5219,"2020_September","St. Marys"
"168","2020_September_CEME_1.3.4","1.3.4","CEME","EPI",-10,NA,0.313140871177016,39,11.75,4,356.7,167,6,33,130,1,-1.19330021599681,271.6,0.5539,"2020_September","St. Marys"
"169","2020_September_CEME_1.3.4","1.3.4","CEME","EPI",-7.919,51.918286,0.371318038701213,27,17,8,430.4,141,10,17,116,1,1.35788487978906,273.8,0.5641,"2020_September","St. Marys"
"170","2020_September_CEME_1.4.4","1.4.4","CEME","EPI",-10,41.97389512,0.381337709677419,40,17,15,386.8,206,14,26,165,1,-0.920227347643562,272.2,0.5414,"2020_September","St. Marys"
"171","2020_September_CEME_1.5.4","1.5.4","CEME","EPI",-7.118,55.38030144,0.261551815926009,26,6,16,318,125,16,10,99,1,1.13876988624517,272.1,0.4064,"2020_September","St. Marys"
"172","2020_September_CEME_1.6.4","1.6.4","CEME","EPI",-8.667,52.41502683,0.346356924882629,45,11.5,4,326.5,117,25,20,93,1,-0.315806596411738,273.2,0.5279,"2020_September","St. Marys"
"173","2020_September_CEME_2.1.4","2.1.4","CEME","EPI",-10,45.82924436,0.366661709286676,38,13,13,332,205,17,21,171,1,-1.41818880570067,277.4,0.5347,"2020_September","Painted Caves"
"174","2020_September_CEME_2.2.4","2.2.4","CEME","EPI",-6.67,64.14665801,0.310454081834355,47,5,8,341.4,121,24,23,90,1,-0.781555778984573,282.8,0.5096,"2020_September","Painted Caves"
"175","2020_September_CEME_2.3.4","2.3.4","CEME","EPI",-8.217,56.18305745,0.357785286783042,55,9.25,6,363.3,126,33,22,98,1,-1.14530836024626,278.3,0.5588,"2020_September","Painted Caves"
"176","2020_September_CEME_2.4.4","2.4.4","CEME","EPI",-7.23,58.78667985,0.311235174418605,62,4.5,2,310.3,181,23,39,140,1,-4.03682264814755,276.1,0.4942,"2020_September","Painted Caves"
"177","2020_September_CEME_2.5.4","2.5.4","CEME","EPI",-8.001,56.18361153,0.287354092786009,49,1.5,2,322.9,176,16,33,141,1,-3.23543467660982,269,0.4488,"2020_September","Painted Caves"
"178","2020_September_CEME_2.6.4","2.6.4","CEME","EPI",-7.87,46.15384615,0.370363157894737,41,9,5,323.1,138,10,31,102,1,-0.815344097312023,265.8,0.5413,"2020_September","Painted Caves"
"179","2020_September_CEME_1.1.4","1.1.4","CEME","EPI",-10,43.19974755,0.319902798589687,40,12.5,5,328.9,105,27,13,87,1,0.532240528623872,277.4,0.4581,"2020_September","St. Marys"
"180","2020_September_CEME_1.3.4","1.3.4","CEME","EPI",-8.38,51.17647059,0.306727626459144,34,14,6,412.7,112,16,18,88,1,1.20770945595714,278.7,0.4637,"2020_September","St. Marys"
"181","2020_September_CEME_1.4.4","1.4.4","CEME","EPI",-9.11,48.82001706,0.366281371799771,39,15.5,5,365.3,125,19,20,100,1,0.413741406814027,293.2,0.5451,"2020_September","St. Marys"
"182","2020_September_CEME_1.5.4","1.5.4","CEME","EPI",-10,44.4506884,0.386498677300136,33,12,11,404.6,119,1,32,76,1,1.19369414964205,288.3,0.5583,"2020_September","St. Marys"
"183","2020_September_CEME_1.6.4","1.6.4","CEME","EPI",-1.89,45.66148298,0.37394923410181,32,15,8,381.4,153,23,9,136,1,0.399623174821777,268.9,0.5447,"2020_September","St. Marys"
"184","2020_September_CEME_2.3.4","2.3.4","CEME","EPI",-9.064,155.2264808,0.224859112627986,33,12,11,415.9,162,24,9,142,1,0.172152446821514,280.1,0.5739,"2020_September","Painted Caves"
"185","2020_September_CEME_2.4.4","2.4.4","CEME","EPI",-8.049,52.73752013,0.343726937269373,58,5.25,4,295.3,182,5,53,125,1,-3.69908362760281,267.9,0.525,"2020_September","Painted Caves"
"186","2020_September_CEME_2.5.4","2.5.4","CEME","EPI",-10,43.26980345,0.36169519850343,34,18.5,7,354.5,145,14,20,118,1,0.572206722851881,268.8,0.5182,"2020_September","Painted Caves"
"187","2020_September_CEME_2.2.4","2.2.4","CEME","EPI",-7.819,57.54357844,0.295473801348086,39,7.5,4,322.4,128,25,14,110,1,-0.548573307210218,271.8,0.4655,"2020_September","Painted Caves"
"188","2020_September_CEME_2.2.4","2.2.4","CEME","EPI",-10,38.70813397,0.351096929975854,32,17,7,376.4,134,18,14,113,1,0.970847115595134,274,0.487,"2020_September","Painted Caves"
"189","2020_September_CEME_2.2.4","2.2.4","CEME","EPI",-9.18,44.47574965,0.39757537261457,43,15,9,379.7,160,23,20,131,1,-0.491397159644991,275,0.5744,"2020_September","Painted Caves"
"190","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-0.5,67,0.308982035928144,28,14,5,329.6,87,8,20,62,1,1.9085190174855,275.2,0.516,"2016_December","St. Marys"
"191","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-0.8,69.31818182,0.311838926174497,46,6,2,296.1,91,22,24,65,1,-0.421853238270454,278.9,0.528,"2016_December","St. Marys"
"192","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-0.7,67.31707317,0.28030612244898,41,5,3,282.1,101,15,26,72,1,-0.43020956701729,276.9,0.469,"2016_December","St. Marys"
"193","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-0.5,74.72766885,0.289021197007481,36,11,7,327.3,85,18,18,60,1,1.32459036060869,280.1,0.505,"2016_December","St. Marys"
"194","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-0.4,88.04733728,0.264826935179358,50,6,3,308.8,107,11,39,65,1,-1.06088178202465,279.8,0.498,"2016_December","St. Marys"
"195","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-0.2,78.51162791,0.263288170922355,55,6,3,307.1,122,39,16,103,1,-1.70382189212122,279.6,0.47,"2016_December","St. Marys"
"196","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-0.3,159.0277778,0.189941018766756,28,15,6,292.8,94,6,22,66,1,1.74486488574989,278.5,0.492,"2016_December","St. Marys"
"197","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-0.6,145.5026455,0.217105603448276,34,8,2,306,84,10,24,58,1,0.762257192553605,275.9,0.533,"2016_December","St. Marys"
"198","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-0.4,135.5,0.2,44,7,1,287.9,92,14,30,61,1,-0.357316467177148,271.7,0.471,"2016_December","St. Marys"
"199","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-0.4,68.23734729,0.326324688796681,51,1,1,306,162,19,32,129,1,-3.16073502715648,271.3,0.549,"2016_December","St. Marys"
"200","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-0.4,60.33898305,0.332420718816068,31,10,9,379.3,101,15,16,76,1,1.47096044764166,277.2,0.533,"2016_December","St. Marys"
"201","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-0.2,83.47169811,0.285057589469354,49,10,6,316.8,69,46,3,60,1,0.765562274182364,277.9,0.523,"2016_December","St. Marys"
"202","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-0.4,76.44628099,0.274304449648712,37,10,4,341.9,119,3,34,81,1,0.0234520490856676,276,0.484,"2016_December","St. Marys"
"203","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-0.7,55.45722714,0.340929791271347,34,8,2,286.3,70,16,18,50,1,1.0958639241431,283.9,0.53,"2016_December","St. Marys"
"204","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-0.5,198.1481481,0.15160248447205,43,7,3,289.4,91,14,29,59,1,-0.109016352637899,286.4,0.452,"2016_December","St. Marys"
"205","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-0.5,91.88405797,0.279335347432024,52,8,7,306.2,130,15,37,86,1,-1.34726552076906,279.1,0.536,"2016_December","St. Marys"
"206","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-0.6,80.4377565,0.277658074298711,47,12,13,310.3,144,8,39,92,1,-0.606434454708189,279.5,0.501,"2016_December","St. Marys"
"207","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-0.4,95.52238806,0.272603053435114,38,12,12,321.6,103,35,3,88,1,1.2032040252374,273,0.533,"2016_December","St. Marys"
"208","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-0.5,122.513089,0.227402352941176,45,8,1,287.8,131,15,30,100,1,-1.38588987916726,276.7,0.506,"2016_December","St. Marys"
"209","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-0.8,NA,0.158811650485437,23,10,12,294.7,81,23,0.5,69,1,2.51103099146381,283,0.508,"2016_December","St. Marys"
"210","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-0.6,112.4,0.229755178907721,40,7,5,321.7,83,15,25,53,1,0.577185088813102,271.9,0.488,"2016_December","St. Marys"
"211","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-0.8,106.3829787,0.248082474226804,31,10,5,306,102,12,19,78,1,0.887827963954515,277.2,0.512,"2016_December","St. Marys"
"212","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-1,78.15491732,0.285706399609184,35,10,8,320,117,20,15,94,1,0.505187108840335,282.8,0.509,"2016_December","St. Marys"
"213","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-1.3,74.22053232,0.288140549978176,37,11,3,316,101,19,18,80,1,0.497439572254742,279.4,0.502,"2016_December","St. Marys"
"214","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-0.9,88.88888889,0.274764705882353,28,16,4,292.6,89,6,22,63,1,1.81808961800476,284.6,0.519,"2016_December","St. Marys"
"215","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-1,135.2024922,0.201953642384106,27,14,6,337.4,61,22,5,50,1,2.83523569474409,278.9,0.475,"2016_December","St. Marys"
"216","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-0.7,135,0.205531914893617,35,11,3,294.5,100,14,21,76,1,0.569909845875161,288.4,0.483,"2016_December","St. Marys"
"217","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-1.2,67.05069124,0.303500689655172,39,2,1,294,99,13,26,72,1,-0.607572717232235,273.6,0.507,"2016_December","St. Marys"
"218","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-1.4,78.21401078,0.27887818574514,29,10,4,317.8,77,12,17,56,1,1.66707850777211,277.3,0.497,"2016_December","St. Marys"
"219","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-1.6,77.69284225,0.278007821666015,39,7,10,331.9,73,17,22,41,1,1.324882989385,280.8,0.494,"2016_December","St. Marys"
"220","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-1.1,NA,0.0711264367816092,23,15,9,296.4,102,12,11,82,1,2.13656623877798,285.6,0.476,"2016_December","St. Marys"
"221","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-0.7,49.10179641,0.327293172690763,33,10,4,292.9,91,11,22,65,1,0.921237788577541,278,0.488,"2016_December","St. Marys"
"222","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-0.9,71.5210356,0.306667924528302,52,8,5,299.5,131,26,26,100,1,-1.49775888723122,274.3,0.526,"2016_December","St. Marys"
"223","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-1.8,76.5743073,0.28769757489301,35,12,7,304.1,92,9,26,59,1,1.1754170308281,276.3,0.508,"2016_December","St. Marys"
"224","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-2,91.44634526,0.263781478472786,30,13,3,301.9,111,14,16,92,1,0.821324762930457,272.8,0.505,"2016_December","St. Marys"
"225","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-2.4,71.22093023,0.293772495755518,44,6,4,277.6,115,14,30,81,1,-0.877169289903733,271.6,0.503,"2016_December","St. Marys"
"226","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-2.1,179.0613718,0.188489003880983,48,1,1,300.3,126,9,39,86,1,-2.0441634262151,281.6,0.526,"2016_December","St. Marys"
"227","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-2.2,98.24561404,0.258265486725664,32,12,6,348.5,97,9,23,68,1,1.33017104989676,271.2,0.512,"2016_December","St. Marys"
"228","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-1.7,75.45023697,0.275861696380335,35,8,6,306.5,95,17,18,71,1,0.719876975574932,272.1,0.484,"2016_December","St. Marys"
"229","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-2.5,70.32085561,0.308828885400314,42,5,2,298,104,17,25,77,1,-0.591184558019689,274.7,0.526,"2016_December","St. Marys"
"230","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-2.6,75.29411765,0.294362416107383,54,4,2,293.6,147,17,37,108,1,-2.68793499719401,282.3,0.516,"2016_December","St. Marys"
"231","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-4.9,76.2962963,0.273970588235294,32,9,8,301.7,97,15,17,72,1,1.0834893884636,267.7,0.483,"2016_December","St. Marys"
"232","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-2.7,62.83524904,0.304602352941176,49,11,3,302.3,133,7,42,88,1,-1.29952633110963,272.3,0.496,"2016_December","St. Marys"
"233","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-2.8,170.3125,0.183861271676301,44,9,3,294.7,109,19,25,81,1,-0.452302588399936,271.6,0.497,"2016_December","St. Marys"
"234","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-2.7,67.54716981,0.320506756756757,19,9,15,288.4,114,16,3,96,1,2.00730750893844,275.1,0.537,"2016_December","St. Marys"
"235","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-4.1,93.49522984,0.2635723890632,47,10,7,284.1,148,32,15,126,1,-1.31461600930722,280.5,0.51,"2016_December","St. Marys"
"236","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-3.6,59.26660059,0.317706285003111,34,8,8,354.5,95,15,19,68,1,1.09241896549867,273,0.506,"2016_December","St. Marys"
"237","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-5.9,61.41732283,0.292409756097561,37,15,7,297.5,112,13,21,84,1,0.832088175681837,281.5,0.472,"2016_December","St. Marys"
"238","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-3.1,65.03667482,0.290238518518519,31,12,5,281.7,96,6,25,66,1,1.11248767182705,270.2,0.479,"2016_December","St. Marys"
"239","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-2.8,64.47761194,0.270553539019964,29,6,3,306,91,6,23,65,1,0.809167901979111,275.9,0.445,"2016_December","St. Marys"
"240","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-3,62.6252505,0.301921133703019,43,7,1,288.2,110,11,32,77,1,-0.782475174821685,277.4,0.491,"2016_December","St. Marys"
"241","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-4.9,91.99318569,0.260946761313221,37,10,4,301.9,112,13,21,84,1,0.236715469905917,278.1,0.501,"2016_December","St. Marys"
"242","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-4.5,58.68852459,0.318863636363636,36,12,4,295.8,87,9,27,56,1,0.991927662757572,279.3,0.506,"2016_December","St. Marys"
"243","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-5.6,60.53683609,0.302734258271078,30,14,6,311.9,85,16,14,65,1,1.86786339966919,270.9,0.486,"2016_December","St. Marys"
"244","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-3.4,94.95268139,0.265705501618123,18,12,9,316.4,57,15,3,45,1,3.51968208234546,275.1,0.518,"2016_December","St. Marys"
"245","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-3.6,67.15328467,0.313484716157205,26,15,6,311.9,69,16,10,53,1,2.66374237391645,276.4,0.524,"2016_December","St. Marys"
"246","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-3.8,88.46641318,0.268482851378615,30,11,5,339.8,87,16,14,68,1,1.57923902993316,272.2,0.506,"2016_December","St. Marys"
"247","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-5.1,51.12107623,0.33019881305638,28,12,6,302.3,112,9,19,87,1,1.04872185646099,274.8,0.499,"2016_December","St. Marys"
"248","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-4.7,78.26086957,0.264780487804878,46,6,2,328,126,25,21,103,1,-1.24070541721524,284.7,0.472,"2016_December","St. Marys"
"249","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-5.3,55.40704739,0.317874902267396,47,6,5,304.6,92,17,30,57,1,-0.290944808209798,272.6,0.494,"2016_December","St. Marys"
"250","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-4,79.52755906,0.287421052631579,27,9,4,295.1,86,3,24,58,1,1.3642937047283,276.8,0.516,"2016_December","St. Marys"
"251","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-4.1,106.0773481,0.221761394101877,19,11,8,328.5,85,3,16,61,1,2.5299330226729,267.5,0.457,"2016_December","St. Marys"
"252","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-3.9,87.93686584,0.272431913617277,39,7,7,295.4,135,14,25,103,1,-0.698382389393384,284.5,0.512,"2016_December","St. Marys"
"253","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-5.6,47.07996406,0.347430054978619,26,9,14,305.3,103,22,4,85,1,1.8225034153597,270.2,0.511,"2016_December","St. Marys"
"254","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-5.1,76.75675676,0.268165137614679,38,1,1,305.4,89,14,24,64,1,-0.311364635019927,279.2,0.474,"2016_December","St. Marys"
"255","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-5.8,56.04900459,0.338996074582924,42,9,6,290.4,96,16,26,64,1,0.229332554467529,279.3,0.529,"2016_December","St. Marys"
"256","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-4.2,112.6252505,0.246442978322337,20,15,7,380,88,7,13,68,1,2.84247912206495,275,0.524,"2016_December","St. Marys"
"257","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-4.2,99.69135802,0.255394126738794,45,4,1,285.3,94,17,28,65,1,-0.734945817371238,272.2,0.51,"2016_December","St. Marys"
"258","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-4,102.5641026,0.245354430379747,24,16,4,298.8,72,12,12,56,1,2.60118473717136,272.1,0.497,"2016_December","St. Marys"
"259","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-7,65.8045977,0.317240901213172,23,12,9,379,99,9,14,76,1,2.23053502818062,278.4,0.526,"2016_December","St. Marys"
"260","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-6.4,63.83601757,0.289313672922252,33,8,6,307.3,105,14,19,80,1,0.581456301686951,278.8,0.474,"2016_December","St. Marys"
"261","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-7.9,54.26439232,0.3273600552868,31,14,6,323.7,112,10,21,85,1,1.08777100209451,279.9,0.505,"2016_December","St. Marys"
"262","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-4.7,114.4508671,0.237350404312668,24,15,11,294.3,84,16,8,65,1,2.70596544909253,275.2,0.509,"2016_December","St. Marys"
"263","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-4.5,125.6410256,0.214056818181818,26,8,7,318,90,12,14,69,1,1.57623678408927,275.9,0.483,"2016_December","St. Marys"
"264","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-6.2,85.00590319,0.268099553286535,13,12,10,361.4,79,6,7,62,1,3.46858234120328,276.8,0.496,"2016_December","St. Marys"
"265","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-6.5,60.02971768,0.2949452181987,23,12,10,318.4,73,10,13,50,1,2.79883544751917,280.1,0.472,"2016_December","St. Marys"
"266","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-5.9,66.66666667,0.2892,27,12,9,347.5,120,14,13,98,1,1.29881899046061,275.4,0.482,"2016_December","St. Marys"
"267","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-7,54.44579781,0.319205835962145,23,11,10,333.1,121,4,19,92,1,1.44851515042587,272.6,0.493,"2016_December","St. Marys"
"268","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-5,159.5238095,0.19805504587156,16,16,9,351.2,92,6,10,73,1,3.14422762314214,278.6,0.514,"2016_December","St. Marys"
"269","2016_December_ADFA_1.2.1","1.2.1","ADFA","EPI",-6.7,NA,0.263447636700649,18,19,5,300.7,79,9,9,65,1,3.15775267743315,268,0.466,"2016_December","St. Marys"
"270","2016_December_ADFA_1.3.1","1.3.1","ADFA","EPI",-6.6,153.7735849,0.191509293680297,12,12,9,293.4,83,5,7,67,1,3.12069996357427,273.7,0.486,"2016_December","St. Marys"
"271","2016_December_ADFA_1.4.1","1.4.1","ADFA","EPI",-8.7,53.53159851,0.340646489104116,31,9,4,304.4,83,12,19,60,1,1.23405476221528,281.6,0.523,"2016_December","St. Marys"
"272","2016_December_ADFA_1.5.1","1.5.1","ADFA","EPI",-7.3,52.5477707,0.338254697286013,27,13,9,315.2,94,19,8,77,1,1.99338873424648,278.1,0.516,"2016_December","St. Marys"
"273","2016_December_ADFA_1.6.1","1.6.1","ADFA","EPI",-9.8,48.51485149,0.348113333333333,14,15,13,369.3,86,9,5,68,1,3.72674169972705,276.9,0.517,"2016_December","St. Marys"
"274","2016_December_ADFA_1.1.1","1.1.1","ADFA","EPI",-6.3,63.003663,0.301833707865169,10,15,10,324.1,64,5,5,49,1,4.20714067544399,283.6,0.492,"2016_December","St. Marys"
